recipe,title_length,recipe_length,ingredients_length,recipe_freq_word,number_of_ingredient,class
Gâteau aux abricots confits au gingembre,6,60,26,ajouter,8,Dessert
Salade de légumes grillés au four,6,74,23,couper,10,Entrée
"Saint Jacques, chorizo snacké et émulsion pomme citron vert",9,118,20,pomme,9,Entrée
Boulettes de viande légères à la tomate.,7,69,26,tomate,9,Plat principal
Terrine de foie gras facile,5,130,13,foie,5,Entrée
Sot-l'y-laisse de dinde au curry et au lait de coco,10,68,45,faites,15,Plat principal
Salade de harengs et de légumes croquants à la mayonnaise,10,32,31,pomme,11,Entrée
Hachis parmentier aux légumes de maman,6,57,20,four,9,Plat principal
Petites cuisses de dames 'Schenkele' (Alsace),6,43,34,sucre,9,Dessert
Charlotte framboise ananas vanille (ricotta et agar-agar),7,112,38,charlotte,12,Dessert
Meilleure tarte aux amandes au Monde !,7,110,49,mélanger,9,Dessert
"Tarte aux champignons, poivrons et chèvre",6,76,31,ajouter,13,Plat principal
Mousse au chocolat blanc sur lit de fraises,8,109,33,blanc,9,Dessert
Tarte à la brousse aux pêches,6,36,14,pâte,6,Dessert
Curry de poulet exotique,4,112,51,faire,22,Plat principal
"Poulet "" light"" du soleil",5,44,29,faire,12,Plat principal
Pâte à crêpe légère au lait d'amande,7,60,21,bien,7,Dessert
Epaule d'agneau au romarin,4,32,8,épaule,4,Plat principal
Flans courgettes et carottes,4,56,20,four,9,Entrée
Omelette à la feta,4,32,14,faire,5,Plat principal
Thon cru mariné au citron,5,61,13,frais,4,Entrée
Tarte au boeuf succulente,4,120,51,rajouter,15,Entrée
Fromage blanc au miel et aux fraises,7,17,15,fraise,5,Dessert
Palette à la diable à l'alsacienne,6,81,25,arroser,12,Plat principal
Savarin au rhum et aux raisins secs,7,59,27,rhum,10,Dessert
Cobbler aux pommes,3,66,59,pomme,14,Dessert
Sablés à l'huile d'olive,4,36,18,four,7,Dessert
Beignets de fleurs de courgettes,5,41,18,beignet,7,Entrée
Ile flottante à la crème anglaise au micro-ondes,8,99,24,micro-ondes,7,Dessert
Ch'tiramisu,1,77,24,blanc,10,Dessert
Gâteau au chocolat et au vin rouge d'Hélène la téméraire,10,65,32,faire,11,Dessert
Salade piémontaise de Titou,4,32,14,pomme,7,Entrée
Mini cake à la confiture,5,23,15,préparation,7,Dessert
Cake aux figues et jambon cru,6,68,32,ajouter,10,Entrée
Beignets à la crème de marrons,6,49,20,beignet,6,Dessert
Chausson au jambon,3,49,24,préparation,8,Plat principal
"Salade aux noix de st jacques, crevettes et raisins",9,54,36,st,10,Plat principal
Blancs de poulet farcis à la tomate séchée et à la mozzarella,12,101,38,tranche,11,Plat principal
Carrés au chocolat et raisins secs,6,41,22,faire,6,Dessert
Poêlée de trompettes de la mort et persillade,8,43,22,trompette,8,Entrée
Ananas au miel et au cognac,6,28,5,morceau,5,Dessert
Terrine de poivron au basilic,5,52,25,faire,8,Entrée
Brownies au chocolat duo,4,73,23,plat,8,Dessert
Irish whisky cake (cake irlandais au whisky),7,61,36,1,9,Dessert
Salade de légumes grillés,4,136,28,aubergine,8,Entrée
Mousse à l'orange,3,68,20,orange,6,Dessert
Quatre-quarts aux pépites de chocolat et à la cannelle,9,57,23,ajouter,8,Dessert
"Asperges, lardons et oeufs mollets",5,49,19,oeuf,7,Plat principal
Salade de fin d'été,4,22,28,chou,8,Entrée
Gâteau de semoule au sirop,5,48,35,sirop,12,Dessert
Tartelettes poires / amande / chocolat,6,60,37,pâte,9,Dessert
Coupes de framboises aux biscuits roses de Reims,8,66,26,framboise,7,Dessert
Salade de chou fleur au sésame,6,71,43,saumon,10,Entrée
Merlans farcies au fromage blanc et aux herbes,8,69,33,crème,11,Plat principal
Sockerkaka / gâteau sans gluten (Suède),6,36,31,mélanger,8,Dessert
Tatin de légumes au chèvre,5,156,35,petit,11,Plat principal
Broyé du Poitou,3,45,17,main,6,Dessert
Pâtes au thon et poires,5,37,16,poire,4,Plat principal
Suprême de saumon à la tomate,6,43,21,tomate,12,Entrée
Potage rouge,2,97,29,minute,12,Entrée
Parmentier de potiron,3,63,17,chou,8,Plat principal
Tartelettes pistachées à la fraise gariguette,6,106,59,pâte,15,Dessert
Flan à la noix de coco et à la vanille,10,64,29,verser,11,Dessert
Fudge brownie aux 3 chocolats,5,46,27,four,9,Dessert
Muffins à la framboise,4,46,38,farine,13,Dessert
Epaule de porc à la cerise glacée,7,110,35,épaule,12,Plat principal
Lasagnes à la corse,4,109,71,viande,17,Plat principal
Muffin sucré à la polenta,5,26,30,four,9,Dessert
Pieds de porc cathares aux légumes d'hiver,7,110,32,chou,7,Plat principal
Aumonières d'escargots au vermouth,4,114,35,minute,11,Entrée
Mousse d'aubergines et son confit de poivrons,7,98,23,aubergine,7,Entrée
Salade antillaise au curry,4,20,31,mayonnaise,12,Entrée
"Poêlée de courgette, riz et steack haché",7,56,23,faire,9,Plat principal
Macarons à la pistache,4,54,19,sucre,6,Dessert
Gratin de saumon aux milles saveurs,6,191,57,rondelle,12,Plat principal
Mon premier gâteau d'anniversaire,4,110,82,ajouter,26,Dessert
Lasagnes jambon courgettes,3,117,25,courgette,9,Plat principal
Courgettes farcies au poulet et aux herbes,7,135,44,courgette,11,Plat principal
Salade d'ananas au crabe,4,59,20,ajouter,7,Entrée
Coq au riesling,3,65,37,morceau,11,Plat principal
Travers de porc (presque chinois),5,65,45,sauce,9,Entrée
Bouillabaisse d'épinards,2,76,31,eau,10,Plat principal
Mantecaos salés,2,32,24,fait,7,Entrée
Tarte aux pommes et fruits secs,6,47,28,pomme,9,Dessert
"Salade légère thon, avocat, haricots rouges et sa sauce curry au fromage blanc 0%",14,61,35,ajouter,12,Entrée
Soupe complète pour l'hiver,4,78,21,courge,9,Plat principal
Semoule aux fruits,3,53,31,amande,8,Dessert
Feuilleté au poulet et fromage,5,90,29,ajouter,10,Plat principal
Brochettes de boeuf haché à l'ananas,6,93,51,1,17,Plat principal
Sorbet à la mandarine et au cognac,7,53,18,sorbet,6,Dessert
Oeufs au lait (Portugal),4,38,9,lait,4,Dessert
Papillotes fraîches de saumon au crabe,6,48,19,tranche,6,Entrée
Potiron confit (Turquie),3,47,23,potiron,5,Dessert
Chapon rôti au four (poisson méditerranéen),6,112,17,poisson,6,Plat principal
Millefeuille de blinis,3,71,40,blini,11,Entrée
Gâteau chocolat banane,3,60,20,fondre,8,Dessert
Feuilles de brick au poulet,5,54,20,mettre,8,Plat principal
Cookies à la noix de coco et aux pépites de chocolat,11,44,40,mettre,11,Dessert
Choux à la crème,4,228,50,chou,16,Dessert
Tarte charentaise,2,53,42,four,11,Dessert
Gâteau Abricots-Citron et glace meringuée,5,238,53,four,19,Dessert
Petits crumbles 4 saisons,4,74,35,morceau,10,Dessert
Croque-monsieur au pesto de Crousti,5,35,24,crème,9,Plat principal
Salzburger  Nockerln  (quenelles de Salzbourg),5,146,35,sucre,12,Dessert
Patranque (recette Auvergnate),3,34,22,pain,7,Plat principal
Gratin de courgette au gorgozola simple,6,52,15,courgette,6,Entrée
Les farsous aveyronnais,3,57,27,pâte,17,Plat principal
Gratin de pennes aux herbes de Provence,7,81,21,pâte,8,Plat principal
Boulettes au vin rouge vinzauto,5,71,17,boulette,7,Plat principal
Salade de carottes au thon,5,34,34,carotte,10,Entrée
Gâteau fourré à la marmelade d'orange,6,76,34,sucre,13,Dessert
Filets mignons rôtis aux deux fruits,6,75,33,filet,9,Plat principal
Rôti de porc aux pêches au sirop et aux oignons,10,44,17,rôti,5,Plat principal
Petits aspics aux fruits,4,59,23,fruit,8,Dessert
Tartine au jambon fumé et béchamel,6,59,25,béchamel,7,Entrée
Chaud froid de fruits rouges,5,74,36,crème,9,Dessert
Pâtes au thon et à la tomate,7,46,20,faire,6,Plat principal
Salade de courgettes crues aux pignons de pin,8,36,23,courgette,6,Entrée
Carpaccio de fruits en millefeuille,5,99,16,fraise,7,Dessert
Avocats d'automne aux fruits secs,5,36,18,avocat,7,Entrée
Courgette sucrée-salée,2,47,24,ajouter,10,Plat principal
Boulettes bonne femme au fromage (turquie),6,64,41,boulette,11,Plat principal
Courgette crues en soupe,4,52,29,courgette,10,Entrée
Soupe de légumes express,4,36,10,légume,5,Entrée
Penne aux courgettes et à la feta,7,41,14,faire,5,Plat principal
Gâteau tendre à la poire,5,47,25,mélanger,9,Dessert
Spätzle au chocolat,3,60,18,pâte,6,Dessert
Daurade d'Outre-Mer,2,102,31,rondelle,9,Plat principal
Poule au riz au micro-ondes,5,159,60,poule,15,Plat principal
Gratin de penne au roquefort,5,82,26,pâte,10,Plat principal
Gigot d'agneau braisé sucré salé,5,160,53,gigot,11,Plat principal
Potage aux poireaux à la bière blanche.,7,40,20,temps,8,Entrée
Gâteau de semoule salé,4,76,22,200,9,Plat principal
Salade d'aubergines rôties,3,66,20,aubergine,7,Entrée
Cake aux tomates séchées,4,49,33,petit,10,Entrée
Cabri ou chevreau au four,5,35,26,four,9,Plat principal
Terrine de porc à la pomme,6,56,22,viande,8,Plat principal
Ramequins feuilletés lotte et fruits de mer,7,60,35,ramequin,14,Plat principal
Soupe de citrouille à la crème de coco,8,94,39,citrouille,11,Entrée
Beignets croustillants de pommes de terre,6,58,14,faire,9,Plat principal
Pognes,1,23,21,min,7,Dessert
Porc à l'anis étoilé,4,43,29,viande,8,Plat principal
Boeuf du pays de caux,5,98,40,faire,11,Plat principal
Tajine aux écrevisses,3,46,28,minute,8,Entrée
Flan de saumon sauce aux épinards,6,82,22,1,9,Entrée
Tiramisu aux abricots,3,75,22,blanc,6,Dessert
Courgettes farcies au riz à l'indienne,6,72,23,courgette,8,Plat principal
Pain de crabe,3,28,23,mayonnaise,7,Entrée
Charlotte de courgettes,3,82,27,courgette,10,Plat principal
Soupe BETTY,2,54,21,laver,7,Entrée
Oeufs brouillés à l'asiatique,4,83,28,faire,9,Plat principal
Millefeuille de crêpes,3,73,29,crêpe,11,Entrée
Lasagnes aux legumes épicés et au chèvre,7,102,35,cuisson,19,Plat principal
"Pizza au jambon, au chèvre et aux champignons",8,63,32,four,14,Plat principal
Pudding au pain et pommes,5,48,17,pomme,7,Dessert
Gaufres salées,2,29,10,farine,5,Plat principal
Pâtes aux courgettes et sublime de tomates,7,113,23,mettre,7,Plat principal
Tarte du soleil au Boursin,5,95,24,courgette,10,Plat principal
Mousse aux spéculoos,3,55,26,tremper,7,Dessert
Courgettes farcies à la sauce tomate à la libanaise,9,66,31,courgette,8,Plat principal
Makrouts d’Eugénie à la pâte d’abricots (3ème rencontre Marmiton),9,136,43,faire,12,Dessert
Tarte de l'impro au poulet,5,58,30,pomme,12,Entrée
Omelette pomme cannelle,3,99,22,pomme,7,Dessert
Cabillaud aux olives,3,58,29,min,10,Plat principal
Lapin au fenouil,3,60,30,lapin,11,Plat principal
Sauté de dinde à la diable,6,50,39,poivron,10,Plat principal
Papillotes de flétan aux petits légumes,6,60,36,6,11,Plat principal
Terrine de pommes et foie gras en gelée de Sauternes,10,72,21,faire,8,Entrée
Aumônières de chèvre chaud,4,107,28,tranche,8,Entrée
Endives surprises au saumon fumé et crevettes,7,76,29,endive,12,Plat principal
Croustillant meringué aux fraises,4,51,25,meringue,8,Dessert
Hot dogs à ma façon,5,78,36,pâte,12,Entrée
Tiramisu aux fruits rouges,4,48,21,fruit,8,Dessert
Échine de porc fondante au lait,6,62,29,mettre,10,Plat principal
Soupe au poireau et son oeuf poché,7,123,37,ajouter,13,Plat principal
Rattes au four a la provencale,6,110,51,four,11,Plat principal
Moules basquaises,2,40,18,moule,9,Plat principal
Gnocchi estivaux poêlés,3,81,23,faire,10,Plat principal
"Curry vert de poulet au lait de coco, tomate et pousses de bambou",13,76,52,curry,13,Plat principal
Le concombre masqué,3,41,30,concombre,8,Entrée
Crêpes au poisson et  curry,5,37,24,poisson,8,Entrée
Riz à la sauce au thon,6,39,36,riz,12,Plat principal
Pâtes à la forestière (chanterelles),5,38,30,ajouter,9,Plat principal
La soupe au potiron qui déchire,6,45,37,couper,13,Entrée
Cannelés aux asperges de catherine,5,32,29,petit,7,Entrée
Poisson printanier aux saveurs asiatiques,5,132,48,oignon,15,Plat principal
Tarte pommes abricots aux amandes,5,67,40,tarte,12,Dessert
Poulet aux chanterelles,3,51,23,ajouter,8,Plat principal
Paupiettes de filet mignon aux champignons,6,66,49,faire,15,Plat principal
Salade de poulet aux graines de sésame,7,59,21,couper,11,Plat principal
Wok de canard et Asperges des Sables des Landes,9,60,23,minute,8,Plat principal
Lapin flambé au rhum,4,35,23,faire,10,Plat principal
Risotto aux aubergines et aux champignons,6,95,39,ajouter,15,Plat principal
Pain d'épices (anis et cannelle),5,44,41,pâte,10,Dessert
Bâteaux multicolores (30ème rencontre Marmiton),5,111,43,petit,13,Entrée
Boeuf mironton,2,73,22,viande,9,Plat principal
Délicieuses timbales de saumon aux herbes,6,57,22,ramequin,6,Entrée
Charlotte légère et rapide aux poires,6,77,31,biscuit,8,Dessert
"Salade tiède de raie, vinaigrette au pamplemousse",7,89,39,raie,10,Entrée
Soupe à la courgette et aux légumes verts,8,56,27,ajouter,11,Plat principal
Pâtes à la façon de Monsieur LOUIS,7,88,28,pâte,8,Plat principal
Salade de riz facile,4,55,29,faire,7,Entrée
Tiramisu à la pâte à tartiner au chocolat,8,50,30,pâte,9,Dessert
Quenelles à la sauce aurore,5,67,23,sauce,8,Plat principal
Quiche aux asperges et au thon,6,65,26,pâte,10,Entrée
Gratin d'aubergines aux couleurs de la Sicile,7,56,24,aubergine,9,Entrée
Boulettes de poisson sauce tomate poivrons,6,89,46,poisson,17,Plat principal
Carrés aux noix délicieux,4,114,36,20,10,Dessert
Délices aux pommes caramélisées,4,66,28,ajouter,11,Dessert
Papillotes de filet mignon au roquefort,6,74,23,filet,7,Plat principal
Tapas de tomates marinées,4,89,45,tomate,10,Entrée
Conserve de pâté de porc facile,6,43,25,bocal,11,Entrée
Clafoutis express aux pêches,4,33,25,pêche,8,Dessert
Lasagnes saumon fumé épinard,4,70,39,couche,12,Plat principal
Boudin créole,2,121,45,eau,11,Entrée
Cake au fromage de chèvre et aux olives,8,90,37,olive,11,Entrée
Beignets d'avocat,2,67,18,pâte,8,Plat principal
Verrines de fraises mascarpone et sauce aux pommes,8,89,23,fraise,8,Dessert
Montagne blanche et son coulis abricot,6,104,13,chantilly,8,Dessert
Pudding caramélisé,2,58,36,sucre,12,Dessert
Salade aux deux pommes,4,27,22,mettre,7,Entrée
Taboulé de coco,3,76,19,mettre,7,Entrée
Soupe jardinière,2,34,27,laisser,9,Entrée
Tajine de boeuf aux fèves,5,67,61,minute,17,Plat principal
Poulet moelleux au four à l'ail,6,47,29,huile,11,Plat principal
"Soupe poireaux, pommes de terre et céleri branche",8,60,12,branche,6,Entrée
Petit délice d'asperges,3,73,21,asperge,7,Entrée
Blinis,1,38,14,lait,7,Entrée
Salade croquante au boulgour,4,41,19,laver,9,Entrée
Gâteau au chocolat : le maréchal,6,66,25,blanc,8,Dessert
Ailes de raies à la sauce curry et fondue de poireaux,11,84,20,faire,7,Plat principal
Pâtes sauce à la crème et aux lentilles,8,48,36,ajouter,11,Plat principal
Gratin de chou au gruyère économique,6,63,18,chou,5,Plat principal
Cailles en feuilles de vigne,5,49,28,caille,10,Plat principal
Tartare de thon aux poivrons,5,58,36,étape,12,Entrée
Cake de volaille au vin rouge et à la coriandre,10,80,68,marinade,15,Plat principal
Cake salé de pâtes aux lardons et aux échalotes,9,132,25,faire,8,Plat principal
Tourte montagnarde,2,77,28,pâte,9,Plat principal
Bolon de verde (Equateur),4,110,24,banane,7,Entrée
Gratin de poulet au cidre,5,47,18,ajouter,7,Plat principal
Salade de poulet aux coeurs de palmier,7,58,20,cuillère,10,Plat principal
Filet de cabillaud en papillote,5,45,20,four,7,Plat principal
Soupe de légumes Ketchup Barbecue,5,44,36,ajouter,12,Entrée
Sandwiches thon-surimi pour rando,4,75,20,tranche,8,Plat principal
Pain de viande facile,4,41,18,faire,8,Entrée
Lapin à la moutarde et lait de coco,8,42,24,faire,9,Plat principal
Tajine de veau aux oignons et au miel,8,78,40,bouillon,13,Entrée
Endives façon bressane,3,40,21,endive,8,Plat principal
Spaghettis au saumon fumé facile,5,46,24,mettre,8,Plat principal
Galantine de poulet,3,122,58,ajouter,19,Plat principal
Gâteau à la noix de coco facile,7,39,19,minute,5,Dessert
Gaufres de Bruxelles faciles,4,89,32,blanc,10,Dessert
Tarte aux endives et au munster,6,88,42,endive,15,Entrée
Scampis gratinées au blé,4,88,43,ajouter,13,Plat principal
Spaghetti à la sauce méditéranéenne,5,98,39,rajouter,10,Plat principal
Petits roulés aux carottes,4,58,20,râper,6,Entrée
Risotto de Saint Jacques à la roquette,7,111,48,noix,14,Plat principal
Tarte aux fraises et à la crème d'amandes,8,78,38,pâte,14,Dessert
Gâteau de florence,3,46,23,citron,7,Dessert
Mini-charlottes framboise-citron au fromage blanc,5,176,33,framboise,10,Dessert
Escalope de poulet à la cancoillotte,6,66,26,remuer,6,Plat principal
Canard en croûte,3,114,38,réserver,13,Entrée
Ragoût de porc (Plat du Réveillon Antillais),7,72,48,viande,17,Plat principal
Salade aux oeufs et aux anchois,6,44,34,salade,12,Entrée
Omelette aux carottes,3,40,12,couche,6,Plat principal
Cuisses de poulet à la provençale,6,50,25,cocotte,9,Plat principal
Tarte mûres et crème pâtissière,5,84,25,lait,9,Dessert
Lasagne de courgettes et ricotta,5,63,31,béchamel,9,Plat principal
Carbonnades du sud,3,66,49,ajouter,15,Plat principal
Scampis à l'italienne (recette maison),5,42,25,scampi,8,Entrée
Chivacici (le vrai nom est Cevapcici - c prononcé tch),10,45,26,huile,10,Plat principal
Gâteau de fête nougat et abricot,6,274,52,gramme,15,Dessert
Tiramisu à la mangue,4,54,16,blanc,7,Dessert
Tarte aux poivrons rouges et tomates cerises,7,93,31,tarte,10,Plat principal
Crevettes au curry express,4,16,18,décortiquer,5,Plat principal
Rôti de porc aux mirabelles et aux pruneaux,8,59,25,rôti,8,Plat principal
Oeufs de caille aux senteurs de sésame,7,60,35,oeuf,10,Entrée
Verrine de saumon facile,4,101,26,saumon,8,Entrée
Chaud froid de tomates et courgettes,6,54,19,courgette,11,Entrée
Flan d'aubergines à la provençale,5,68,31,huile,11,Entrée
"Gâteau pommes, pruneaux et ricotta",5,84,52,ajouter,15,Dessert
Pâtes au poulet et au curry,6,42,23,poulet,9,Plat principal
Porc aux groseilles façon Mélanie,5,43,22,cocotte,8,Plat principal
Tartine campagnarde au four,4,61,20,tartine,7,Plat principal
Verrines façon tarte poire frangipane,5,102,45,cm,12,Dessert
Carbonnades aux choux de bruxelles,5,51,33,ajouter,11,Plat principal
Fenouil à la tomate et au gruyère,7,51,26,fenouil,9,Entrée
Filets de poisson sauce witloof,5,83,37,fin,14,Plat principal
Timbale de blé au maquereau,5,37,19,blé,7,Entrée
Munster frit,2,51,7,portion,5,Plat principal
Tarte colorée sucrée salée,4,58,45,poivron,11,Entrée
Pain de viande au cumin et à la menthe,9,42,35,four,10,Plat principal
Tartines à l'oeuf et au thon,6,52,25,thon,9,Plat principal
Banaourt,1,34,8,4,5,Dessert
Tarte aux olives rapide,4,24,18,pâte,6,Entrée
Pâte à Crêpe de Lili,5,48,12,mélanger,6,Dessert
Tarte d'été thon poivrons tapenade,5,68,31,poivron,8,Plat principal
Soupe de poivrons rouges simple,5,62,25,poivron,9,Entrée
Tian de chèvre et tomate,5,40,21,ramequin,6,Entrée
Harengs marinés,2,99,26,laitance,10,Entrée
Gâteau yaourt pommes sans sucre,5,70,33,blanc,10,Dessert
Roulé à l'épinard,3,57,21,épinard,7,Plat principal
Charlotte aux fraises et au rhum,6,156,22,film,7,Dessert
Quiche saumon champignons,3,45,21,pâte,8,Entrée
Salade composée au blanc de dinde,6,43,28,couper,10,Plat principal
Compote de pommes de ma grand'mère,6,35,18,min,6,Dessert
Parfait miel - chocolat,4,60,21,crème,6,Dessert
Capuccino de framboises,3,41,28,framboise,9,Dessert
Gratin de brocolis au saumon,5,54,22,béchamel,6,Plat principal
Feuilletés de Saint Jacques,4,97,37,noix,11,Entrée
Clafoutis aux mirabelles ou aux quetsches,6,29,22,ajouter,8,Dessert
Petits soufflés au crabe,4,75,39,ajouter,13,Plat principal
Cake crevettes brocoli,3,45,55,brocoli,16,Entrée
Crêpes fourrées à la crème de citron soufflée,8,120,44,crème,16,Dessert
Sabayon de figues,3,69,16,figue,5,Dessert
Bugnes lyonnaises à la levure de boulanger,7,103,33,pâte,11,Dessert
Loup en croûte de sel,5,47,14,loup,5,Plat principal
Glace à l'ananas avec sorbetière,5,24,14,crème,5,Dessert
Tranches de jambon aux champignons et au porto,8,67,25,champignon,8,Plat principal
Tarte aux cookies,3,47,22,four,8,Dessert
Gâteau délicieux aux cerises et amandes,6,71,37,gâteau,11,Dessert
Milhassou,1,49,23,souvenir,7,Dessert
Gâteau au yaourt et à l'huître,6,48,31,pot,9,Entrée
Oeufs durs farcis aux crevettes,5,28,12,œuf,5,Entrée
Soupe au citron à la Grecque,6,50,19,bouillir,9,Entrée
Chou farci au blanc de volaille,6,173,54,chou,16,Plat principal
Quiche aux cèpes frais,4,67,37,cèpe,10,Plat principal
Potage crémeux de betteraves,4,34,23,pomme,7,Entrée
Cuisses de canard au poivre vert,6,66,19,cuisse,7,Plat principal
"Tomates farcies en papillotes froides,",5,121,49,tomate,14,Plat principal
Riz et haricots rouges (à la créole),7,78,42,eau,12,Plat principal
Pizza à l'aubergine et à la pancetta,7,47,27,couper,9,Plat principal
Pieds paquets de ma grand-mère,5,102,30,feu,7,Plat principal
Chèvre chaud sur lit de pomme sucrée,7,26,18,chèvre,11,Entrée
Pizza à la chinoise,4,118,58,pâte,16,Plat principal
Filets de soles crêmés au citron sur lit de pommes de terre et langoustines zestées de citron vert,18,101,23,pomme,9,Plat principal
Soupe de fraises au thé vert à la menthe,9,42,17,sucre,6,Dessert
Tarte aux figues miel et lavande,6,40,23,pâte,7,Dessert
Gâteau à la banane et à la cannelle,8,74,46,sucre,11,Dessert
Ratatouille bluffante sucrée salée,4,88,26,tomate,9,Plat principal
Soupe d'avocat au gingembre,4,23,13,mixer,5,Entrée
Poulet à la mexicaine,4,93,42,cocotte,15,Plat principal
Crumble aux framboises rapide,4,34,21,four,7,Dessert
Vol au vent des mers,5,98,57,vin,12,Plat principal
The tarte orange chocolat,4,87,49,tarte,16,Dessert
Profiteroles au chocolat,3,102,54,chou,18,Dessert
Poêlée campagnarde aux gésiers,4,72,34,pomme,8,Plat principal
Brochettes de poisson aux épices,5,46,39,hacher,12,Plat principal
Filet mignon printanier,3,75,52,minute,10,Plat principal
Boulets à la liégeoise,4,75,31,mélanger,12,Plat principal
"Mansaf, ou agneau à la jordanienne (Jordanie)",7,145,31,viande,9,Plat principal
Soupe de blettes aux lentilles,5,58,19,blette,7,Plat principal
Filets de rougets aux baies rouges,6,100,20,faire,6,Plat principal
Papillotte de saumon du soleil,5,68,26,tomate,11,Plat principal
Koucha d'agneau (agneau aux pommes de terres),7,97,32,couper,11,Plat principal
Ganache au chocolat,3,33,16,crème,5,Dessert
Oignons blancs à la crème (Pologne),6,32,18,oignon,7,Entrée
Courgettes au roquefort,3,55,15,courgette,6,Plat principal
Soupe veloutée aux haricots beurre,5,76,30,ajouter,8,Entrée
Glace à la banane antillaise,5,48,21,faire,7,Dessert
Mousse de la passion,4,89,32,crème,12,Dessert
"Poularde au citron, champignons et porto",6,111,41,cocotte,13,Plat principal
Poulet aux olives en couscoussier,5,145,60,verser,10,Plat principal
LAPIN A LA PROVENCALE (façon MariO),6,116,38,lapin,14,Plat principal
Soufflé aux carottes et aux épinards,6,38,24,ajouter,9,Plat principal
Poulet indo-chinois,2,81,38,ajouter,8,Plat principal
Charlotte aux fruits d'été,4,52,24,fromage,8,Dessert
Gaufres Gisèle,2,13,17,saladier,7,Dessert
Pommes de terre aux rousses,5,56,23,couper,8,Plat principal
Fabes con almejas (haricots blancs aux palourdes),7,67,25,bien,9,Entrée
Cannelloni gratinés farcis à la bolognaise,6,135,53,tomate,20,Plat principal
Le poulet de Fatou à la cacahuète,7,72,38,ajouter,11,Plat principal
Merveilleux fraisier léger,3,132,71,chantilly,20,Dessert
Saumon entier au court bouillon aromatique,6,54,21,saumon,7,Plat principal
Crêpes du dimanche (parfumées orange cognac),6,53,26,sucre,9,Dessert
"Quiche aux tétragones, tomates et fromage de chèvre",8,159,44,ajouter,14,Plat principal
Gâteau aux carottes nappage  'cream cheese' (recette hollandaise),8,62,41,beurre,14,Dessert
Velouté d' Aubergine,3,116,80,légume,25,Entrée
Soleil d'Hawaï,2,46,19,ananas,7,Dessert
Poivrons jaunes farcis à la viande et sauce tomate,9,70,23,four,8,Plat principal
Bugnes briochées,2,28,31,faire,10,Dessert
Crevettes croustillantes,2,47,13,crevette,6,Entrée
Blettes gratinées au fromage sauce béchamel,6,62,28,minute,9,Plat principal
Gratin de courge façon Gilou,5,53,33,légume,12,Plat principal
Crème d'Asperges blanches,3,78,27,asperge,7,Entrée
Paupiettes de porc à la romaine de Cathylou,8,66,43,grillade,14,Plat principal
Rougail poulet,2,53,17,poulet,7,Plat principal
Pâtes au saucisson fumé et aux champignons,7,39,23,pâte,9,Plat principal
Roulades de boeuf farcies,4,80,29,feu,9,Plat principal
Emincé de surimi à la mimolette,6,51,12,surimi,5,Plat principal
Moelleux crème de coco,4,119,41,préparer,12,Dessert
Samossas aux fruits secs,4,58,22,feuille,8,Dessert
Bricks boeuf poireau,3,82,20,brick,7,Entrée
Courgettes aux knackis,3,51,13,courgette,7,Plat principal
Cheeseburger végétarien aux champignons,4,220,61,champignon,13,Plat principal
Rochers aux raisins,3,37,30,papier,9,Dessert
Muffins sucrés ou salés,4,82,51,mélange,14,Dessert
Nonnettes à l'abricot,3,57,30,four,9,Dessert
Pommes au four caramelisées,4,33,14,four,5,Dessert
Daube de taureau,3,99,29,vin,8,Plat principal
Poulet Azar (Recette tunisienne),4,56,53,cuillère,15,Plat principal
Délice de mousse au chocolat,5,48,17,fondre,6,Dessert
Poêlé de cougettes riz et surimi,6,81,21,ajouter,8,Plat principal
Soupe à la boulette (Belgique - recette flamande),8,49,39,laver,11,Entrée
Un coeur rouge en génoise,5,181,24,1,8,Dessert
Feuilleté de nutella,3,54,22,four,6,Dessert
Lapin à la Trappiste de Chimay,6,63,18,bière,8,Plat principal
Steack hachés à la créole,5,53,55,bien,12,Plat principal
Brouchketta (Liban),2,49,18,tartine,8,Entrée
Lentilles au poulet,3,53,22,lentille,10,Plat principal
Tourte aux fraises et crème anglaise,6,100,37,pâte,11,Dessert
Délicieux Gratin de Pâtes,4,69,33,pâte,10,Plat principal
Mignon de veau au beaufort,5,66,35,mignon,11,Plat principal
Feuilleté de magret de canard,5,55,36,ajouter,13,Plat principal
TABOULÉ AU THON,3,53,32,ajouter,10,Entrée
Lasagnes come la mamma,4,207,20,tomate,8,Plat principal
Gratin de courgettes au thon facile,6,41,14,ajouter,6,Plat principal
Poulet à l'estragon à la mijoteuse électrique,7,85,58,échalote,12,Plat principal
Crumble Pommes-Poires,2,47,17,four,6,Dessert
Salade de haricots verts fromagère,5,38,27,mélanger,7,Entrée
Poulet en gelée façon rue de la concorde,8,165,33,bouillon,11,Entrée
Penne aux thon et aux pommes,6,66,26,pomme,8,Plat principal
Gambas Thaï Sautées au Gingembre et Basilic,7,60,55,gambas,14,Plat principal
Madeleines à la pistache,4,43,27,four,8,Dessert
Sorbet citron au melon chaud,5,73,36,melon,7,Dessert
Risotto jambon et gorgonzola,4,60,32,ajouter,9,Plat principal
Tarte aux pommes et pain d'épices,6,127,49,pâte,16,Dessert
Pâte à pizza séverine,4,7,20,mélanger,7,Plat principal
Crumble aux prunes jaunes flambées,5,84,34,prune,9,Dessert
